Subsystem 3	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
Choline and Betaine Uptake and Betaine Biosynthesis	141.8333333	91.33333333	162	179.8333333	141.8333333	157.75	140.5	129	209.1666667	107.3333333	130.5	159.5
Choline biosynthesis in plants	0	0	0	0	0	1	0	0	0	0	0	0
Chorismate Synthesis	89.08333333	77.08333333	94.28333333	66.91666667	89.08333333	116.3666667	89.91666667	92.11666667	52.78333333	82.72619048	103.1666667	102.8333333
Cinnamic Acid Degradation	7.7625	9.726190476	11.26666667	2.429166667	7.7625	0.142857143	0.666666667	5.566666667	0.0625	4.283333333	6.2	4.25
CitAB	1	4	2	0	1	0	1.5	6	0.5	0.5	0.5	2.5
Citrate Metabolism KE2	5.75	5.5	5.5	2	5.75	6	12	3	1.5	3.25	8.5	6.75
Cluster Ytf and putative sugar transporter	7.5	21	15.53333333	7.333333333	7.5	2	13.66666667	18.53333333	0.222222222	9.333333333	1.3	10.66666667
Cluster-based Subsystem Grouping Hypotheticals - perhaps Proteosome Related	8.5	11.33333333	12.5	3	8.5	18	17.33333333	12	0.5	19	8.5	6.333333333
Coagulation cascade	0	0	0	0	0	0	0	0	0	0	3	0
Cobalamin	170.1011905	128.9261905	169.2333333	134.9833333	170.1011905	251.5428571	180.0678571	173.2333333	104.5095238	196.9166667	140.7242424	216.4333333
Cobalamin synthesis	183.0595238	169.3333333	166.6583333	116.3511905	183.0595238	289.9416667	150.1083333	172.5833333	112.9345238	202.9166667	135.6428571	240.5690476
Cobalt-zinc-cadmium resistance	249.8333333	220.5666667	272.4996032	219.9952381	249.8333333	390.5833333	201.6857143	231.2694444	143.3730159	274.9	197.6666667	323.1130952
Coenzyme A Biosynthesis	106.1666667	106.5833333	89.91666667	72.08333333	106.1666667	169.1666667	110.4166667	102.5833333	46.91666667	125.5	60.83333333	99.83333333
Coenzyme B12 biosynthesis	167.5761905	132.65	179.525	163.727381	167.5761905	294.6833333	160.0511905	164.05	114.8940476	176.85	148.8726551	196.1246032
Coenzyme F420 hydrogenase	0	0.333333333	0	0	0	0	0.5	0.5	0	0	0	0
Coenzyme F420 synthesis	5	2	5	2	5	3.5	1	1	1	3	1	5
Coenzyme PQQ synthesis	0.833333333	6.5	7.916666667	0.166666667	0.833333333	0	1	8.833333333	0	3	1.25	3.083333333
Colanic acid biosynthesis	84.74090909	43.2	37.25	53.6797619	84.74090909	61.16666667	35.7	45.24358974	15.29285714	42.79166667	21.84090909	41.35833333
"Cold shock, CspA family of proteins"	9	3	7	15	9	8	10	6	4	6	10	14
Colicin V and Bacteriocin Production Cluster	20.30952381	17.06904762	20.78888889	17	20.30952381	42.03333333	21.41666667	24.11666667	11.31666667	33.81666667	17.16666667	26.92619048
Colonization factor antigen I fimbriae	1	1	10	1.666666667	1	0	0	11	0	4	2	13
Commensurate regulon activation	0	1.5	1.25	1	0	0	0.25	2.75	0.5	0.5	1	2.75
Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)	179.125	161.5833333	155.9166667	86.25	179.125	246.5666667	159.25	156.3166667	83.58333333	201.7261905	112.8333333	143.4242424
Competence in Streptococci	0	0	0	1	0	0	0	0	0	0	0	0
Competence or DNA damage-inducible protein CinA and related protein families	270.8575397	253.05	227.4257937	129.7928571	270.8575397	320.9438492	226.9095238	219.9063492	105.6595238	254.7801587	138.6246032	249.0865079
"Conjugative transposon, Bacteroidales"	400.3333333	312.3333333	385.4261905	328.2261905	400.3333333	789	253.8666667	217.3611111	264.7333333	583.2333333	147.9409091	410.9333333
"Conserved cluster around inner membrane protein gene yghQ, probably involved in polysaccharide biosynthesis"	3	1	7	1	3	0	0	0	3	0	0	0
Conserved gene cluster possibly involved in RNA metabolism	25.33333333	17.41666667	21.08333333	17.83333333	25.33333333	33.08333333	23.95833333	29.91666667	17.5	21.91666667	25.25	19.58333333
Control of cell elongation - division cycle in Bacilli	0	0	0	0	0	2	0	0	1	0	2	1
Copper homeostasis	368.1456349	388.6666667	288.7992424	212.4420996	368.1456349	544.9583333	340.3111111	313.9166667	175.3666667	363.7416667	215.8539683	341.2678571
Copper homeostasis: copper tolerance	28.03333333	27.36666667	24.95	15.08333333	28.03333333	23.5	17.28333333	27.45	16	36.83333333	17	21.83333333
Creatine and Creatinine Degradation	27	27.16666667	34.33333333	22	27	30	19.66666667	18.33333333	25.83333333	27	18.66666667	20
Cresol degradation	0	0	0	0	0	0	0	0	1	1	0	0
Curli production	1	0	3	0	1	0	0	3	0	1	1	1
Cuticular wax in plants	0	0	0	1	0	0	0	0	0	0	0	0
Cyanate hydrolysis	14.75	9	16	9	14.75	7.75	8	10.5	1.5	7	12.75	14.75
Cyanobacterial Circadian Clock	20	22	14	12	20	23	22	25	10	21	9	17
Cyanophycin Metabolism	3	0	0	0	3	0	0	0	0	1	9	0
Cysteine Biosynthesis	95.15	89.28333333	83.39444444	50.66666667	95.15	128.4166667	85.25	97.23333333	51.5	112.5333333	58.75	114.2833333
"Cysteine Biosynthesis, MCB 432"	124.3166667	92.53333333	86.97777778	61.16666667	124.3166667	184.25	120.5833333	124.9	61.5	154.8666667	81.58333333	132.45
CytR regulation	3	2.333333333	0.666666667	0.333333333	3	0	1	5.666666667	0	1	0	1
Cytochrome b6-f complex in plants (plastidial) and cyanobacteria	0	0	0	0	0	1	0	0	0	0	0	0
Cytolethal distending toxins	0	0	1	0	0	0	0	0	0	0	0	0
D-Alanyl Lipoteichoic Acid Biosynthesis	0.666666667	1.25	0.833333333	1.566666667	0.666666667	0.666666667	0	2.166666667	1.916666667	2.25	0	0.666666667
D-Galacturonate and D-Glucuronate Utilization	328.1186869	268.1	315.7468975	256.1107143	328.1186869	520.5611111	266.1449134	252.7213675	194.4679293	322.1468254	169.6758658	354.6877345
D-Sorbitol(D-Glucitol) and L-Sorbose Utilization	14	19	14	14	14	6	14.33333333	18	3	8	10.33333333	29
D-Tagatose and Galactitol Utilization	56.33333333	43.08333333	36.2	35.16666667	56.33333333	66	42.66666667	38.56666667	30	47.66666667	34.19444444	47.94444444
D-allose utilization	5	4	8.333333333	4	5	2	2	5	12	2	4.111111111	3.111111111
"D-galactarate, D-glucarate and D-glycerate catabolism"	24.55238095	23.06904762	31.31428571	19.0547619	24.55238095	29.36428571	19.01904762	31.85	15.9952381	13.11666667	20.42619048	30.21190476
"D-galactarate, D-glucarate and D-glycerate catabolism - gjo"	25.55238095	24.31904762	33.31428571	19.0547619	25.55238095	29.03095238	19.01904762	31.85	15.9952381	13.11666667	20.42619048	31.21190476
D-galactonate catabolism	5	11	14	3	5	0	6	14	1	7.333333333	9.5	6
D-gluconate and ketogluconates metabolism	87.78333333	94.96666667	69.65	46.52777778	87.78333333	93.93333333	68.65	81.81666667	31.66666667	89.95	30.16666667	97.91666667
D-glucosaminate utilization	3	4.666666667	4.333333333	5	3	1.333333333	5	5.333333333	0	4.583333333	0	2
D-ribose utilization	100.8666667	104.3166667	97.4	133.8333333	100.8666667	110.4166667	82.78333333	118.2166667	110.125	59.16666667	78.36666667	110
D-tyrosyl-tRNA(Tyr) deacylase	5.75	2.75	4.066666667	5.083333333	5.75	9.866666667	4.25	6	5.083333333	4.583333333	4.866666667	5.583333333
DNA Helicase of Unknown Function	0	0	0	0	0	0	0	0	0	2	0	0
DNA Repair Base Excision	328.4928932	294.3428571	296.272619	178.5368437	328.4928932	480.0456349	288.8554945	268.0574176	180.6950758	321.9357143	198.7753719	314.9417749
DNA phosphorothioation	1	5	2	0	1	4	4	0	1	2	7	7.5
DNA processing cluster	387.9166667	227.1666667	320.4916667	189.4173993	387.9166667	529.4166667	341.6678571	231.0102564	201.7666667	329.5833333	257.9742424	361.881746
"DNA repair, UvrABC system"	451.1261905	445.1428571	312.2440476	219.1484127	451.1261905	649.1547619	360.5861111	358.2873016	192.2666667	473.4190476	241.6634921	394.2742424
"DNA repair, bacterial"	476.4659091	489.65	480.3318182	356.9166667	476.4659091	643.8666667	483.4353535	448.4435897	227.9666667	574.9428571	399.4861111	521.6130952
"DNA repair, bacterial DinG and relatives"	70.75396825	53	64.22619048	29.45833333	70.75396825	76.25	59.75	56.47619048	39.725	63.16666667	52.25757576	48.75
"DNA repair, bacterial MutL-MutS system"	244.8984127	194.8607143	219.8674603	137.3234127	244.8984127	352.056746	204.7202381	179.206746	109.7641234	225.2484127	157.0087735	214.4746392
"DNA repair, bacterial RecBCD pathway"	159.497619	118.9166667	138.0833333	120.9404762	159.497619	219.25	123.7833333	139.2	57.88095238	136.2666667	145.3611111	199.8
"DNA repair, bacterial RecFOR pathway"	306.9808913	271.4595238	253.1511905	157.2003968	306.9808913	364.9178571	251.6857143	226.925	123.9277778	322.9857143	135.9618187	291.9540404
"DNA repair, bacterial UmuCD system"	51.91666667	50.73333333	45.4	34.23333333	51.91666667	73.61666667	43.28333333	42.61666667	22.53333333	43.96666667	32.65	45.63333333
"DNA repair, bacterial UvrD and related helicases"	172.7984848	157.7333333	143.9151515	131.1651515	172.7984848	214.0388889	160.1761905	141.6935897	103.8964646	168.8	114.631203	143.6333333
"DNA repair, bacterial photolyase"	1	0	1	0	1	0	0	3	0	2	0	1
"DNA replication, archaeal"	10	14.5	4.5	4.5	10	10.5	5.5	7.5	8.5	10.5	2	7.5
"DNA structural proteins, bacterial"	23	22	28.5	28.5	23	37.5	31	27	14	33.5	20	45.5
"DNA topoisomerases, Type I, ATP-independent"	75.41666667	60	66.23376623	49.08660131	75.41666667	109	49.89285714	54.52424242	20.9004329	86.58333333	38.99285714	63.76349206
"DNA topoisomerases, Type II, ATP-dependent"	209.0074176	193.4333333	166.3244561	103.7579476	209.0074176	318.1718254	165.7909774	164.5176962	98.64805195	215.6199856	101.5250361	203.7604618
"DNA-binding regulatory proteins, strays"	32.81666667	56.88333333	36.01666667	13.36666667	32.81666667	14.31666667	24.16666667	51.4	13.71666667	23.93333333	21.53333333	41.76666667
DNA-replication	921.6876235	780.9428571	815.0881313	632.5147186	921.6876235	1157.894048	848.081685	779.1240842	469.286439	962.4404762	618.8432224	881.1191558
De Novo Purine Biosynthesis	565.4	531.6666667	437.9916667	306.325	565.4	785.6166667	480.25	479.8666667	301.7833333	572.575	310.5333333	516.5095238
De Novo Pyrimidine Synthesis	530.1833333	532.8666667	428.7333333	261.15	530.1833333	765.1	411.502381	418.302381	266.4857143	531.1666667	304.5	462.5333333
Dehydrogenase complexes	39.7520202	28.77142857	38.13809524	23.86709957	39.7520202	35.75833333	25.58571429	32.17857143	8.43452381	26.10952381	20.00995671	34.35952381
Denitrification	7.5	3	1.5	3	7.5	11.5	6	0	7	6.5	1.5	7.5
Deoxyribose and Deoxynucleoside Catabolism	161.2666667	168.25	115	71.35	161.2666667	238.0833333	134.1666667	114.25	73.5	156.8333333	77.33333333	155.5
Diadenylate cyclase cluster	0	0	1	1	0	2	2	0	2	1	2	0
Dihydroxyacetone kinases	37.11666667	46.48333333	41.73333333	43.33333333	37.11666667	57.75	35.95	47.05	57.20833333	44.33333333	41.2	62.5
Dimethylarginine metabolism	2.666666667	3	6	0.333333333	2.666666667	5	0	2	2	3.333333333	1	2.333333333
"Dimethylsulfoniopropionate (DMSP) mineralization, WBW"	0	0.2	1	0	0	0.290909091	0	1.166666667	0	0.933333333	0	1
"Dimethylsulfoniopropionate (DMSP) mineralization, gjo"	0	0.2	1	0	0	0.290909091	0	1.166666667	0	0.933333333	0	1
Diphthamide biosynthesis	0	1	1	1	0	1	1	1	1	1	1	1.5
Dipicolinate Synthesis	20	21.5	13	10.5	20	21.5	6.5	13	14	24.5	6	12.5
Dissimilatory nitrite reductase	10.5	10.5	3	11	10.5	4.5	12	6	4.5	5	12.5	5
EC 2.7.1.- Phosphotransferases with an alcohol group as acceptor	9.333333333	8.4	13.53333333	15.7	9.333333333	16.5	6	8.8	5.5	18.5	10.45	11.16666667
EC 3.4.11.- Aminopeptidases	125.8928571	97	134.4277778	99.44920635	125.8928571	188.6666667	140.2	111.9761905	64.5625	150.8666667	115.8409091	138.3333333
EC 3.4.13.- Dipeptidases	57	30.5	38	36.5	57	69	43	43	14	50.5	47	45.5
EC 3.4.17.- Metallocarboxypeptidases	7.033333333	4.45	7	1.95	7.033333333	1.6	4.4	10.21666667	1.5	3.5	5.6	3.45
EC 3.4.19.- Omega peptidases	17	7	12.5	6.5	17	19.5	11	10	5	11	5.5	11.5
EC 3.4.21.- Serine endopeptidase	14	6	17	9	14	17	9	6	6	19	9.333333333	21.14285714
EC 3.4.24.- Metalloendopeptidases	0	0	0	1	0	0	0	0	0	0	0	0
EC 4. 1. 1.- Carboxy-lyases	67.9	58.175	53.47424242	40.45952381	67.9	126.9916667	66.91666667	47.69285714	20.58452381	60.2	40.36263736	61.39444444
EC 4.1.2.- Aldehyde-lyases	55.95952381	66.48095238	55.38095238	33.4047619	55.95952381	79.97380952	53.82619048	62.18333333	40.65238095	59.85952381	32.32142857	71.19285714
EC 4.1.3.- Oxo-acid-lyases	56.58333333	62.5	58.08333333	35.33333333	56.58333333	72	53.16666667	61.66666667	32	57.66666667	32	50.08333333
EC 5.1.2.- Racemaces and epimerases acting on hydroxy acids and derivatives	0	0	0	0	0	0	0	1	0	0	0	0
EC 6.3.4.- Ligases that form carbon-nitrogen bonds	226.0011655	180.7333333	179.3004329	109.1595238	226.0011655	318.6083333	202.3333333	195.8833333	109.7166667	213.5	120.2337662	206.2388889
EC 6.4.1.- Ligases that form carbon-carbon bonds	154.4670996	125.8607143	134.1564214	80.34329004	154.4670996	224.7583333	114.8511905	118.5595238	82.78452381	150.327381	78.81902264	130.0551587
EC699-706	16.5	28	27.5	15	16.5	14	25.2	34	8	14	16.5	25
ECF class transporters	80.27777778	105.5	88.56666667	69.66666667	80.27777778	154.8333333	88.78333333	95.2	63.41666667	102.2	62.56666667	83.375
ESAT-6 proteins secretion system in Firmicutes	5	0	4	6	5	2	8	5	2	2	1	10
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-1)	0	0	1	0	0	0	0	0	0	0	0	0
Ectoine biosynthesis and regulation	2	0	0	0	2	1	0	0	0	1	0	0
Energy-conserving hydrogenase (ferredoxin)	0	2	0.5	0	0	0	0.5	7	1.166666667	3.333333333	0	0
Entner-Doudoroff Pathway	320.6888278	295.0753968	293.2676587	206.8301587	320.6888278	482.8511905	355.9706349	313.4547619	195.2261905	378.5642857	214.8785714	391.7801587
Ergothioneine Cyano	0	0.125	0.125	10	0	0	0	0	0	0	1	0
Erythromycin resistance	0	1	0	0	0	0	0	0	0	0	0	0
Ethanolamine utilization	15.01666667	26.36666667	19.56666667	15.7	15.01666667	27.85	14.5	15.06666667	20.75	17.33333333	6.266666667	16.1
Ethylmalonyl-CoA pathway of C2 assimilation	0.5	0	0	0	0.5	0	0	0	0	0	0	0
"Ethylmalonyl-CoA pathway of C2 assimilation, GJO"	0.5	0	0	0	0.5	0	0	0	0	0	0	0
Exopolysaccharide Biosynthesis	121.3666667	98	112.3095238	109	121.3666667	199.75	129.8095238	86.5	58.5	132.5	137.3373016	147.5
Experimental ThMP RZ	20.06190476	17.375	17.85	23.84285714	20.06190476	27.76190476	26.91944444	34.18730159	19.93333333	13.89563492	20.775	25.1
Extracellular Polysaccharide Biosynthesis of Streptococci	4	6	2	2	4	5	8	3	0	4	6	2
F0F1-type ATP synthase	289.1	223	215	160	289.1	401.5	259.25	225	152	333	170	283.6
F0F1-type ATP synthase in plants (plastidial)	0	0	1	0	0	0	0	0	0	0	0	0
F1453 mlsummers	0	0	0	0	0	1	0	2	0	0	0	0
F420 bobik	0	0	0	0	0	0.5	0	0	0	0	0	0
FOL Commensurate regulon activation	8.104437229	13.84404762	15.55833333	4.154834055	8.104437229	0.535714286	8.488095238	26.08333333	3.184126984	5.619047619	6.983333333	11.28571429
Fatty Acid Biosynthesis FASI	14	7.2	12.09090909	4	14	0	6.525	8	0	4.366666667	3	0
Fatty Acid Biosynthesis FASII	483.3095238	426.7357143	413.829798	292.175	483.3095238	681.2833333	394.2416667	416.3333333	299.2166667	471.5928571	257.9261905	475.7
Fatty acid degradation regulons	11.73376623	10.25	11.38922466	4.215909091	11.73376623	1	10	13.1	0.190909091	7.5	9.894444444	11.7020202
Fe-S cluster assembly	34.95238095	56.44404762	43.08690476	27.00396825	34.95238095	66.00519481	40.33888889	48.36865079	16.63690476	47.77261905	25.8468254	31.17857143
FeFe hydrogenase maturation	56.5	38	50.25	37.25	56.5	90	40.5	44	42	58.5	53.2	53.25
Fermentations: Lactate	137.127381	112.102381	120.8698413	74.86031746	137.127381	190.5706349	110.1008658	109.5937229	57.24404762	116.5690476	85.21031746	136.0412698
Fermentations: Mixed acid	268.7376374	245.9654762	234.2321429	181.3012266	268.7376374	355.7301587	249.1909452	240.8603896	170.8085561	260.6583333	191.8142247	271.56829
"Ferrous iron transporter EfeUOB, low-pH-induced"	6	7	9	3	6	0	7	8	0	4	3	3
Flagellar motility	80.25	39.5	53.33333333	15.65	80.25	121.4166667	86.25	95.33333333	27.8	64.41666667	39	77.11666667
Flagellum	119.8333333	72.66666667	74.83333333	103.2833333	119.8333333	127.5833333	79.25	95.83333333	65.73333333	60.41666667	72.5	67.75
Flagellum in Campylobacter	86.03174603	33.75	61.77142857	47.99310689	86.03174603	89.7	93.0297619	78.27777778	36.41666667	54.45757576	52.51059219	59.05519481
Flavocytochrome C	6	4	4	0	6	13	6	0	3	8.25	8	1
Flavodoxin	84	69	77	48	84	140	68	76	37	101	43	79
Flavohaemoglobin	87.47285354	97.2	71.39444444	52	87.47285354	79.46111111	86.80119048	95.60277778	34.69444444	77.13452381	53.50396825	67.23333333
Folate Biosynthesis	400.0448773	344.9761905	311.8968254	214.3445378	400.0448773	488.1706349	297.9011905	313.4373016	193.4277778	404.7380952	242.2448773	335.131746
FolateExerciseMaizeClassVDC	0.166666667	0	1	0.4	0.166666667	0	1.5	0.142857143	0	2.625	1	0
Formaldehyde assimilation: Ribulose monophosphate pathway	140.4928571	119.9563492	123.1290043	86.43928571	140.4928571	186.5964286	146.4848596	119.2515263	71.83412698	143.1964286	91.84963925	150.173088
Formate dehydrogenase	4.152380952	17.7	7.9	2.681818182	4.152380952	0	6.2	16.11904762	0.485714286	3.166666667	1.119047619	6.785714286
Formate hydrogenase	134.1647186	137.902381	105.4154762	83.50050505	134.1647186	159.4166667	127.8214286	118.2785714	60.16239496	105.3	115.5547619	146.9380952
Fosfomycin resistance	0	1	1	0	0	0	2	3	0	0	0	1
Fructooligosaccharides(FOS) and Raffinose Utilization	282.1222222	197.7833333	265.343759	251.0441558	282.1222222	367.7833333	282.0535714	216.152381	170.1375	288.0678571	259.3396825	367.3968615
Fructose and Mannose Inducible PTS	2	5	1	6	2	6	4	4	3	2	2	5
Fructose utilization	126.1666667	93.83333333	100.3333333	115.6190476	126.1666667	129.6666667	168.3333333	128.8333333	90.80882353	115.8333333	138.4166667	152.3333333
Fructoselysine (Amadori product) utilization pathway	2	4	7	1	2	0	0	0	2	0	2	0
GABA and putrescine metabolism from cluters	7.083333333	15.33333333	8	2	7.083333333	0	3.333333333	7.5	0	3.333333333	5.5	6.5
GDP-sugars biosynthesis and interconversions in plants	0	0	0	0	0	0	0	1	0	0	0	0
Galactosylceramide and Sulfatide metabolism	335.102417	191.3504329	358.9136183	288.4195527	335.102417	524.1204726	301.9098096	226.2336802	167.1733225	387.0615079	309.5254551	472.2961511
Gallic acid utilization	2	0	4.9	0.2	2	0	0	4.9	0	0	0	0.5
General Secretion Pathway	11.5	15	30	6	11.5	0	0	20	0.5	2	6.5	7
Gentisate degradation	3.2	4.666666667	1.7	1	3.2	8.5	4	3.75	1.5	3.45	2.2	5
Glutamate dehydrogenases	30.5	26.4	24.9	15.25	30.5	41.23333333	21.81666667	22.53333333	11.78333333	31.66666667	10.58333333	30.86666667
Glutamate transporter involved in acid tolerance in Streptococcus	1	0	2	1	1	0	3	2	3	0	3	4
Glutamine synthetases	63.3770202	53.93333333	49.84880952	35.9015873	63.3770202	86.470671	47.35	43.99444444	25.9047619	59.75876623	37.83730159	60.94487734
"Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis"	602.7631674	583.25	513.552381	324.0186869	602.7631674	869.870671	517.1	481.0920635	314.4492063	592.9254329	381.7373016	572.6210678
Glutaredoxins	99.46190476	114.0075397	108.1857143	74.95238095	99.46190476	125.8011905	100.15	110.3619048	57.41666667	116.3214286	68.2952381	97.69920635
Glutathione analogs: mycothiol	0	0	0	0	0	0	0	0	0	0.5	0	0.5
Glutathione-dependent pathway of formaldehyde detoxification	1.166666667	6.5	2	1.333333333	1.166666667	0	0.5	4.5	2.5	3	2	1
Glutathione-regulated potassium-efflux system and associated functions	130.9833333	128.6	141.9833333	96.2467033	130.9833333	182.3095238	136.0690476	141.45	71.79563492	126.1333333	114.6396576	153.3301587
Glutathione: Biosynthesis and gamma-glutamyl cycle	60.5	82.625	59.40833333	40.81111111	60.5	86.66666667	65.58333333	57.75	24.64583333	67.75	44.50757576	61.75
Glutathione: Non-redox reactions	27.78333333	40.10833333	32.70833333	22.03333333	27.78333333	26	26.65	40.28333333	10.16666667	23.41666667	20.03333333	29.15
Glutathione: Redox cycle	8.5	8.5	10.66666667	5.333333333	8.5	1.5	15.83333333	11.16666667	2	6.5	4.833333333	8.7
Glutathionylspermidine and Trypanothione	3	8	8.5	3	3	1	5.5	9.5	0	4.5	5.5	4
Glycerate metabolism	97.92930403	74.91190476	66.35873016	31.88809524	97.92930403	94.46428571	49.43015873	56.25952381	40.16190476	65.54285714	38.74285714	62.61666667
Glycerol and Glycerol-3-phosphate Uptake and Utilization	125.075	108.8333333	92.53333333	118.1666667	125.075	131.6666667	123.5	98.5	103.0333333	112.0833333	52.16666667	119.75
"Glycerol fermentation to 1,3-propanediol"	32.03333333	27.83333333	22.41666667	14	32.03333333	20	14.95	19.25	5.5	20.33333333	16.75	31.03333333
Glycerolipid and Glycerophospholipid Metabolism in Bacteria	353.5910714	317.2464286	325.3031746	243.2811508	353.5910714	482.7095238	332.0758658	339.209596	190.7827381	346.0428571	303.0706349	375.3031746
Glycine Biosynthesis	43.13654401	42.50952381	33.03730159	25.25	43.13654401	65.02777778	26.46785714	31.06944444	21.61111111	46.84642857	19.61111111	31.11666667
Glycine and Serine Utilization	128.570671	150.7063492	115.5357143	75.06428571	128.570671	191.9587302	117.9035714	110.5555556	77.17142857	127.0198413	51.81075036	115.2797369
Glycine cleavage system	87.1754329	78.64920635	71.75	60.39404762	87.1754329	114.1611111	64.80952381	89.78412698	77.55119048	81.66626984	64.52741703	85.0011655
"Glycine reductase, sarcosine reductase and betaine reductase"	29.91666667	27.33333333	25.25	48.91666667	29.91666667	54.5	31.16666667	18	37.16666667	27.25	26.58333333	27.66666667
Glycogen metabolism	417.6974317	323.9777778	363.1306638	273.0536186	417.6974317	558.9666667	423.6107504	372.9341991	235.8016234	440.8325758	342.2780886	457.8861111
"Glycolate, glyoxylate interconversions"	39.99642857	63.3	48.46666667	29.60952381	39.99642857	74.8	42.01666667	38.7	29.975	53.91666667	27.00952381	56.81666667
Glycolysis and Gluconeogenesis	391.9912088	331.9503968	325.9555916	244.8103175	391.9912088	591.014881	371.8456349	365.5380952	203.9706349	414.6642857	268.0427831	406.4277167
"Glycolysis and Gluconeogenesis, including Archaeal enzymes"	97.50833333	80.68452381	85.09090909	66.8968254	97.50833333	143.25	94.06785714	74.84285714	40.16785714	112.7428571	74.02662338	111.2364469
Glycolysis test	6.2	12.83730159	10.4	2.116666667	6.2	0	2.5	9.576190476	0.1	2.05952381	3.366666667	2.444444444
Glyoxylate bypass	14.39090909	10.47076061	11.82857143	1.875222816	14.39090909	1.5	5.21978022	13.61904762	0.216666667	4.638095238	3.819047619	5.176190476
Gram Positive Competence	1	1	0	0.5	1	1	0	0	0	0	0	1
GroEL GroES	96	73.5	71.5	44.5	96	140.5	59	68	33.5	105.5	47	85.5
Group II intron-associated genes	22.5	13	16	29	22.5	32	15	17	26	14.5	21	28
H2:CoM-S-S-HTP oxidoreductase	1.7	0.533333333	0.866666667	0.533333333	1.7	2.533333333	1.166666667	1.233333333	1.366666667	1.666666667	0.2	2.266666667
HMG CoA Synthesis	1.624242424	0	0.5	0	1.624242424	0.333333333	0	0.333333333	0	1.166666667	0	0
HMG-CoA	0.740909091	0	0	0.125	0.740909091	0.916666667	0	0.2	0.525	0.958333333	0.2	0
HPr catabolite repression system	34.5	18	28.5	32	34.5	53	40	33.5	26	40.5	32.5	37
Heat shock Cell division Proteases and a Methyltransferase	1.2	0	0.533333333	0	1.2	0	2	0	0	0.533333333	1	0.2
Heat shock dnaK gene cluster extended	461.9285465	417.3218254	403.4972222	254.5619048	461.9285465	664.6511905	395.9261905	379.6694444	230.3107143	499.4194444	262.7079365	471.8643218
Heme biosynthesis orphans	15.5	17	7	5	15.5	26	9	7	5	16	1	16
"Heme, hemin uptake and utilization systems in GramPositives"	51.5	18	41.5	46	51.5	47.5	37.58333333	51	31	38.5	72.83333333	42.33333333
Hemin transport system	42.81709957	22.07424242	49.9047619	38.23611111	42.81709957	54	24	22.83333333	23.25396825	46.83333333	35.80952381	49.70833333
Hexose Phosphate Uptake System	13	28	8	0	13	0	8	14	0	10	2	3
Hfl operon	56	72.5	49	29.5	56	91	55.5	47.5	33.5	61.5	35.5	51
High affinity phosphate transporter and control of PHO regulon	161.1369048	137.3333333	130.8079365	126.7357143	161.1369048	225.2261905	131.5206349	123.4484127	105.9694444	169.0761905	144.2415205	175.4246032
Histidine Biosynthesis	320.7	287.6	253.0166667	162.1333333	320.7	440.5333333	309.3833333	294.6	170.95	332.1666667	209.4333333	292.6
Histidine Biosynthesis in plants	0	0	0	0	0	0	0.5	0	0	0	0	0
Histidine Degradation	85.79285714	92.66666667	63.72619048	37.45	85.79285714	149.3333333	50.05952381	61.97619048	26.41666667	87.08333333	31.39285714	74.06709957
Homogentisate pathway of aromatic compound degradation	11	8.642857143	14	4	11	7	8.2	13.5	2.111111111	2.976190476	7	11
Housecleaning nucleoside triphosphate pyrophosphatases	32.75	48.25	38.08333333	23	32.75	72.75	35.33333333	36.08333333	11.08333333	50.5	25.75	31.08333333
HtrA and Sec secretion	1	4	1	0	1	0	0	2	0	0	2.5	0
Hydantoin metabolism	51.5	52.83333333	37.33333333	43.33333333	51.5	65	44.5	52.58333333	53.5	48.5	32.75	40.5
Hydrogenases	124.7337662	109.1666667	110	64.23333333	124.7337662	202.75	88.9	88.5	86	121.3333333	89.5	125.5
Hydroxyaromatic decarboxylase family	2	3	3	2	2	0	2	7.5	1	0	1	3
Hyperosmotic potassium uptake	59.5	32.16666667	45.78333333	27.64285714	59.5	89	59.91666667	45.91666667	26.66666667	51.66666667	30.15833333	59.36666667
Hypothetical Coupled to RecF	10.5	11.83333333	11.33333333	8.5	10.5	10.5	15.33333333	11.83333333	6.5	11.16666667	6	7.833333333
IbrA and IbrB: co-activators of prophage gene expression	17	18	22	16	17	34	16	15	13	26	11	32
Inclusion membrane proteins supporting intracellular life styles in Chlamydiales	11	5	5	4	11	12	7	5	2	8	2	5
Indole-pyruvate oxidoreductase complex	23.08333333	26.7	26.2	16.75	23.08333333	50	19.89285714	20.2	21.2	36.5	10	39.75
Inner membrane protein YhjD and conserved cluster involved in LPS biosynthesis	10	20.5	12.5	0.125	10	0	5	22	1	6	7.5	5
Inorganic Sulfur Assimilation	26	32.16666667	29.91666667	14.83333333	26	14.25	24.75	26.41666667	12.33333333	11.33333333	16.91666667	19.25
Inositol catabolism	109.3333333	136.5	146.5	107	109.3333333	140.5	132	113.5	86.33333333	105	93.5	163
Integrons	8.166666667	6	2.5	10.33333333	8.166666667	7	3	2	5	4	1	12
